지역,대통합민주신당 정동영,한나라당 이명박,민주노동당 권영길,민주당 이인제,창조한국당 문국현,참주인연합 정근모,겅제공화당 허경영,새시대참사람연합 전관,한국사회당 금민,무소속 이회창
경북 고령군,1462,13420,635,67,500,14,65,13,29,3518
경북 성주군,1691,18615,666,93,649,13,55,22,39,4207
경북 칠곡군,4147,35502,1286,142,2255,15,192,17,40,9120
경북 군위군,1047,12147,394,58,293,7,34,6,25,2223
경북 의성군,2517,27525,1493,147,814,17,87,38,57,5006
경북 청송군,1571,12422,609,89,581,17,127,13,22,2115
경북 영양군,1120,8199,440,48,296,8,25,6,22,1366
경북 영덕군,1377,23129,482,52,372,8,47,9,20,1763
경북 봉화군,1812,13981,819,103,568,19,124,17,67,3402
경북 울진군,2691,21804,607,91,929,21,215,18,36,3294
경남 창원시,29081,119272,18327,537,13263,91,888,50,121,48987
경남 마산시,20557,122030,8730,480,9677,62,720,45,114,45251
경남 진주시,15332,97767,7752,398,7629,82,650,55,96,36341
경남 진해시,9834,43764,3417,234,4351,44,272,29,45,16901
경남 통영시,6610,38853,2293,229,2523,42,218,33,52,12761
경남 고성군,3268,16716,1254,120,946,27,109,16,50,6621
경남 사천시,5945,31520,2774,185,2166,32,188,19,67,13639
경남 김해시,33010,94923,8619,595,12154,109,880,57,138,44945
경남 밀양시,7002,32527,2255,222,2324,52,192,31,52,13612
경남 거제시,13614,45598,8622,360,4225,37,375,27,58,14908
경남 의령군,1849,9440,1103,88,486,50,80,20,30,4472
경남 함안군,3930,19584,2317,142,1534,165,212,33,38,8177
경남 창녕군,3698,19389,1831,197,1347,207,157,33,63,8217
경남 양산시,14220,55734,4367,320,5490,64,413,27,68,19877
경남 하동군,5097,15618,1677,166,1086,30,105,34,42,6120
경남 남해군,4709,15991,1404,176,902,30,127,20,45,6505
경남 함양군,3200,13967,1087,150,966,123,147,33,40,4794
경남 산청군,2055,12239,1482,87,552,11,93,13,35,4037
경남 거창군,3637,19863,1708,127,1345,26,128,20,45,6982
경남 합천군,2815,18867,1626,122,927,26,109,17,62,6339
제주 제주시,56798,70297,7059,1124,15142,114,929,90,227,27824
제주 서귀포시,24772,26198,3895,550,4279,38,344,54,117,9671
