시도,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,2060,2982,114,3,4,3,0,1,0,2,0,0
서울특별시,575,1219,40,2,7,0,0,0,0,0,0,0
서울특별시,384,914,42,2,6,0,0,0,4,0,1,0
서울특별시,568,1080,45,0,6,0,0,0,6,2,0,0
서울특별시,401,1083,28,1,8,0,2,0,1,1,0,0
서울특별시,470,938,40,1,9,0,2,1,1,0,2,2
서울특별시,656,1399,45,2,9,0,0,1,1,1,0,1
서울특별시,2363,2210,90,2,15,0,0,0,2,3,0,0
서울특별시,597,728,51,2,10,0,0,1,2,0,1,0
서울특별시,627,1077,60,1,3,0,0,2,1,0,2,1
서울특별시,616,1067,49,0,11,0,0,1,1,0,0,0
서울특별시,1494,1607,77,1,13,0,0,1,0,3,0,0
서울특별시,474,579,42,0,12,0,1,0,3,1,0,1
서울특별시,661,1394,45,1,8,0,0,2,0,0,0,0
서울특별시,432,973,44,1,5,0,1,0,0,1,1,0
서울특별시,358,527,45,1,4,0,0,0,1,0,0,0
서울특별시,1895,2133,131,2,14,3,0,0,0,4,1,1
서울특별시,249,410,30,0,2,0,0,0,0,2,0,0
서울특별시,189,289,18,1,3,0,0,0,1,1,0,0
서울특별시,689,897,57,0,12,0,0,0,0,1,0,1
서울특별시,713,1082,66,1,7,1,0,2,1,1,1,1
서울특별시,2352,2145,114,2,17,0,0,2,0,8,0,1
서울특별시,437,678,34,1,7,1,1,0,3,0,0,1
서울특별시,593,906,35,0,12,1,1,1,2,1,1,2
서울특별시,399,668,32,2,11,0,0,1,1,0,0,0
서울특별시,499,709,39,1,5,1,0,0,1,0,0,0
서울특별시,1460,1487,76,1,12,1,1,0,0,3,0,2
서울특별시,530,704,46,1,11,0,0,1,1,1,0,1
서울특별시,513,1142,33,1,10,0,0,0,1,0,0,0
서울특별시,287,409,19,2,10,0,0,0,0,1,0,0
서울특별시,2763,2828,150,1,9,3,1,0,2,1,1,0
서울특별시,660,751,50,0,13,0,0,0,0,2,0,2
서울특별시,726,801,45,1,12,0,0,0,1,2,0,0
서울특별시,544,890,48,0,10,0,0,0,2,2,1,2
서울특별시,625,1152,47,1,6,1,1,0,0,1,0,0
서울특별시,559,1025,48,1,9,1,0,0,0,0,1,0
서울특별시,497,879,48,0,7,0,0,0,2,1,0,0
서울특별시,2432,1824,136,4,21,2,0,1,2,4,0,1
서울특별시,637,701,57,3,7,0,0,0,1,2,0,1
서울특별시,613,691,44,1,8,0,0,1,2,2,1,0
서울특별시,617,793,45,2,4,1,1,0,0,2,1,0
서울특별시,699,907,55,0,6,1,0,1,3,1,1,0
서울특별시,1958,2139,120,1,12,0,0,1,2,4,0,1
서울특별시,418,701,30,0,3,0,0,0,1,0,0,1
서울특별시,539,946,53,0,9,2,1,1,1,1,0,0
서울특별시,405,495,29,0,7,0,0,0,1,0,1,2
서울특별시,412,740,32,1,5,0,0,0,2,0,0,0
서울특별시,2618,2437,99,0,21,0,1,1,0,4,0,4
서울특별시,611,1068,67,2,7,1,0,1,1,0,0,1
서울특별시,582,765,49,2,9,0,0,1,0,3,0,0
서울특별시,740,887,56,4,10,0,0,1,0,2,0,0
서울특별시,585,1048,59,0,3,0,0,0,6,0,1,1
서울특별시,692,962,45,0,13,2,0,1,3,1,0,1
서울특별시,2493,2075,109,3,18,2,0,0,0,1,0,0
서울특별시,443,628,36,0,14,2,1,0,0,2,0,0
서울특별시,647,817,57,1,11,1,0,1,1,2,0,2
서울특별시,668,930,53,1,15,0,0,2,7,4,0,1
서울특별시,552,637,27,0,9,0,0,1,4,0,0,0
서울특별시,682,608,33,0,15,0,0,0,4,1,0,0
서울특별시,525,720,47,0,8,0,0,0,0,1,0,1
서울특별시,1183,1158,90,2,10,1,0,1,0,3,1,2
서울특별시,321,409,32,0,5,0,0,1,1,0,0,1
서울특별시,505,570,36,3,9,0,0,0,0,0,0,0
서울특별시,588,1023,54,4,14,0,0,2,0,1,0,0
서울특별시,1369,1041,57,2,4,0,0,0,1,2,0,1
서울특별시,544,583,31,3,9,0,0,0,2,0,0,0
서울특별시,478,559,37,1,8,0,0,0,2,1,1,0
서울특별시,490,593,34,2,10,1,0,0,1,0,1,0
서울특별시,1799,1143,57,2,11,2,0,0,0,0,1,2
서울특별시,635,712,44,1,8,0,0,0,0,0,0,0
서울특별시,528,602,29,0,7,0,0,0,3,3,0,1
서울특별시,431,549,32,1,6,1,0,1,1,2,1,0
서울특별시,2350,1580,108,1,21,2,2,0,0,1,0,2
