지역,선거인수,투표수,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일,계,무효,기권
광주 북구을,162549,146714,2369.0,141592.0,946.0,292.0,22.0,91.0,45.0,145357,1357,15835
광주 광산구,146531,133257,2362.0,127425.0,1452.0,261.0,35.0,163.0,68.0,131766,1491,13274
대전 동구을,80726,61944,15819.0,28235.0,15915.0,669.0,117.0,121.0,85.0,60961,983,18782
대전 서구을,153488,124816,43295.0,53235.0,25191.0,1394.0,136.0,181.0,94.0,123526,1290,28672
대전 동구갑,102348,78586,20259.0,35379.0,20151.0,797.0,158.0,197.0,159.0,77100,1486,23762
대전 중구,180565,140027,40011.0,63096.0,32804.0,1460.0,196.0,267.0,186.0,138020,2007,40538
대전 서구갑,134004,105171,28178.0,47865.0,26152.0,1070.0,140.0,199.0,139.0,103743,1428,28833
대전 유성구,93072,74853,24295.0,31722.0,15937.0,1443.0,120.0,154.0,112.0,73783,1070,18219
대전 대덕구,137271,107424,27409.0,47961.0,28224.0,1611.0,161.0,233.0,161.0,105760,1664,29847
울산 남구을,91574,74655,41404.0,10610.0,18643.0,2897.0,84.0,51.0,113.0,73802,853,16919
울산 중구,155651,124401,67509.0,16597.0,31830.0,6402.0,143.0,100.0,192.0,122773,1628,31250
울산 남구갑,113311,91663,53780.0,12216.0,21475.0,3041.0,82.0,54.0,119.0,90767,896,21648
울산 동구,125435,103911,42533.0,23075.0,26950.0,9924.0,101.0,89.0,126.0,102798,1113,21524
울산 북구,66047,54885,23553.0,7993.0,14799.0,7590.0,78.0,48.0,133.0,54194,691,11162
울산 울주군,102107,80944,40219.0,10260.0,26127.0,2291.0,139.0,85.0,308.0,79429,1515,21163
경기 수원시권선구,192659,154397,53339.0,58090.0,38588.0,1691.0,222.0,239.0,155.0,152324,2073,38262
경기 수원시장안구,175812,140932,51151.0,52560.0,33114.0,1702.0,212.0,252.0,132.0,139123,1809,34880
경기 성남시중원구,190920,151994,40779.0,73650.0,33343.0,1299.0,182.0,254.0,154.0,149661,2333,38926
경기 성남시분당구,255849,215478,109195.0,75438.0,26549.0,2016.0,171.0,388.0,124.0,213881,1597,40371
경기 안양시만안구,177145,141695,49009.0,59608.0,29081.0,1621.0,167.0,202.0,136.0,139824,1871,35450
경기 안양시동안구을,103345,86534,37769.0,32969.0,13866.0,833.0,74.0,140.0,53.0,85704,830,16811
경기 부천시원미구을,142615,119149,43886.0,50207.0,21841.0,1407.0,104.0,178.0,94.0,117717,1432,23466
경기 부천시오정구,122807,98551,29533.0,44742.0,21338.0,882.0,102.0,182.0,101.0,96880,1671,24256
