지역,한나라당 이회창,새정치국민회의 김대중,국민신당 이인제,건설국민승리21 권영길,공화당 허경영,바른정치연합 김한식,통일한국당 신정일
강원 태백시,14286.0,5469.0,10957.0,310.0,122.0,47.0,126.0
강원 정선군,10396.0,6148.0,11491.0,204.0,204.0,88.0,226.0
강원 속초시,19932.0,11287.0,12127.0,331.0,73.0,63.0,108.0
강원 고성군,8765.0,5265.0,6704.0,125.0,67.0,48.0,124.0
강원 양양군,7417.0,4567.0,5493.0,141.0,61.0,46.0,121.0
강원 인제군,6153.0,5515.0,6580.0,128.0,100.0,59.0,131.0
강원 삼척시,22997.0,8325.0,14859.0,376.0,196.0,107.0,363.0
강원 홍천군,12731.0,10964.0,16593.0,293.0,262.0,139.0,319.0
강원 횡성군,7879.0,7203.0,11252.0,209.0,157.0,95.0,233.0
강원 영월군,9936.0,6065.0,11030.0,288.0,208.0,99.0,229.0
강원 평창군,10018.0,6098.0,9885.0,224.0,210.0,67.0,243.0
강원 화천군,4914.0,4039.0,5240.0,93.0,58.0,48.0,95.0
강원 철원군,9532.0,9092.0,11068.0,175.0,105.0,58.0,118.0
강원 양구군,4276.0,3639.0,5039.0,89.0,73.0,47.0,72.0
충북 청주시흥덕구,53820.0,61972.0,38769.0,2849.0,299.0,209.0,221.0
충북 청주시상당구,42869.0,46796.0,29159.0,1646.0,215.0,200.0,242.0
충북 충주시,34755.0,38839.0,40391.0,1216.0,463.0,274.0,452.0
충북 제천시,28782.0,20703.0,28088.0,917.0,329.0,200.0,364.0
충북 단양군,7324.0,6143.0,9509.0,315.0,135.0,104.0,209.0
충북 청원군,16528.0,30125.0,18644.0,919.0,281.0,305.0,401.0
충북 영동군,11542.0,11346.0,11216.0,421.0,218.0,162.0,301.0
충북 보은군,6351.0,11701.0,7914.0,193.0,126.0,145.0,184.0
충북 옥천군,7936.0,16175.0,10654.0,504.0,162.0,190.0,250.0
충북 음성군,12843.0,19248.0,15208.0,474.0,201.0,177.0,234.0
충북 진천군,7774.0,14535.0,9497.0,333.0,126.0,126.0,180.0
충북 괴산군,12686.0,18083.0,13205.0,445.0,229.0,221.0,319.0
충남 천안시갑,30506.0,39659.0,24604.0,1101.0,221.0,299.0,245.0
충남 천안시을,28130.0,37901.0,25560.0,1272.0,193.0,215.0,177.0
충남 공주시,14620.0,34907.0,21282.0,564.0,287.0,352.0,347.0
충남 보령시,12432.0,33907.0,15208.0,499.0,209.0,309.0,319.0
충남 아산시,22589.0,44023.0,22066.0,1902.0,228.0,280.0,287.0
충남 금산군,7153.0,17236.0,11180.0,247.0,173.0,270.0,306.0
충남 연기군,9788.0,19889.0,13402.0,448.0,146.0,172.0,172.0
충남 논산시,11721.0,40199.0,37023.0,521.0,283.0,268.0,280.0
충남 부여군,6990.0,33053.0,12553.0,318.0,165.0,322.0,227.0
충남 서천군,8991.0,23998.0,10358.0,294.0,140.0,202.0,245.0
충남 홍성군,16104.0,25802.0,10420.0,385.0,146.0,234.0,292.0
충남 청양군,5355.0,12221.0,6093.0,164.0,113.0,154.0,163.0
충남 예산군,25339.0,24774.0,7773.0,339.0,148.0,232.0,355.0
충남 서산시,16125.0,41122.0,17760.0,850.0,212.0,346.0,242.0
충남 태안군,6637.0,19103.0,9734.0,221.0,157.0,224.0,223.0
충남 당진군,12977.0,35299.0,16786.0,479.0,190.0,230.0,242.0
전북 전주시완산구,7823.0,165974.0,2870.0,666.0,73.0,304.0,108.0
전북 전주시덕진구,6382.0,143578.0,2686.0,701.0,45.0,250.0,91.0
전북 군산시갑,3968.0,69987.0,1989.0,212.0,44.0,204.0,116.0
전북 군산시을,4998.0,77140.0,2635.0,316.0,34.0,191.0,91.0
