지역,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬
충남 천안시동남구,59695.0,34869.0,34933.0,9089.0,11067.0,189.0,35.0,130.0,57.0,84.0,66.0,82.0,148.0
충남 공주시,25036.0,18449.0,15814.0,2948.0,3852.0,82.0,24.0,58.0,31.0,77.0,57.0,82.0,108.0
충남 보령시,20674.0,19453.0,15428.0,2819.0,3546.0,74.0,16.0,68.0,27.0,65.0,51.0,64.0,102.0
충남 아산시,73461.0,36741.0,38368.0,10252.0,13340.0,203.0,41.0,132.0,54.0,105.0,64.0,85.0,184.0
충남 서산시,37376.0,24572.0,23237.0,5520.0,7016.0,96.0,25.0,93.0,28.0,137.0,64.0,78.0,133.0
충남 태안군,12881.0,12666.0,8940.0,1626.0,2093.0,39.0,5.0,31.0,12.0,42.0,39.0,47.0,48.0
충남 금산군,11182.0,9416.0,8787.0,1312.0,1679.0,39.0,19.0,37.0,15.0,49.0,50.0,45.0,87.0
충남 논산시,28265.0,16948.0,18844.0,3503.0,3897.0,82.0,21.0,87.0,31.0,117.0,57.0,62.0,123.0
충남 계룡시,9566.0,6261.0,6722.0,2222.0,1502.0,34.0,6.0,20.0,6.0,35.0,6.0,13.0,29.0
충남 당진시,37191.0,23597.0,20852.0,4907.0,7638.0,107.0,24.0,177.0,31.0,221.0,45.0,68.0,126.0
충남 부여군,13492.0,13761.0,11022.0,1881.0,2382.0,52.0,18.0,33.0,23.0,76.0,66.0,90.0,106.0
충남 서천군,12554.0,9891.0,8744.0,1551.0,1647.0,37.0,9.0,47.0,10.0,44.0,37.0,43.0,64.0
충남 홍성군,21021.0,16682.0,14251.0,3133.0,3845.0,61.0,18.0,50.0,17.0,39.0,57.0,77.0,74.0
충남 청양군,6185.0,7104.0,5140.0,826.0,1080.0,28.0,7.0,22.0,11.0,15.0,24.0,48.0,42.0
충남 예산군,13880.0,18911.0,11243.0,2319.0,2693.0,58.0,16.0,38.0,16.0,35.0,31.0,68.0,79.0
전북 전주시완산구,157637.0,7003.0,50506.0,6977.0,12678.0,74.0,40.0,300.0,36.0,128.0,44.0,73.0,160.0
전북 전주시덕진구,125375.0,5183.0,40188.0,5286.0,10773.0,54.0,23.0,154.0,32.0,113.0,34.0,43.0,163.0
전북 군산시,109379.0,6360.0,42387.0,4638.0,8397.0,68.0,28.0,109.0,26.0,147.0,59.0,58.0,169.0
전북 익산시,123422.0,6470.0,45737.0,5324.0,9644.0,59.0,30.0,136.0,109.0,196.0,51.0,58.0,242.0
전북 정읍시,45894.0,2175.0,20111.0,1462.0,3109.0,32.0,17.0,102.0,35.0,116.0,30.0,38.0,170.0
전북 남원시,35539.0,1939.0,13854.0,1098.0,2193.0,32.0,15.0,44.0,21.0,88.0,44.0,54.0,164.0
전북 김제시,35870.0,2052.0,15880.0,1190.0,2265.0,22.0,8.0,37.0,21.0,24.0,34.0,37.0,117.0
전북 완주군,41057.0,2107.0,13897.0,1515.0,3306.0,20.0,16.0,52.0,13.0,67.0,25.0,35.0,120.0
전북 진안군,11918.0,819.0,3904.0,392.0,806.0,12.0,3.0,12.0,2.0,13.0,22.0,23.0,83.0
전북 무주군,10381.0,1225.0,3998.0,434.0,723.0,8.0,4.0,19.0,8.0,23.0,15.0,17.0,63.0
전북 장수군,10714.0,717.0,3353.0,342.0,688.0,8.0,6.0,14.0,3.0,18.0,21.0,17.0,74.0
전북 임실군,12893.0,771.0,5009.0,403.0,904.0,6.0,10.0,20.0,11.0,17.0,23.0,32.0,127.0
전북 순창군,12309.0,688.0,5624.0,324.0,755.0,15.0,9.0,11.0,7.0,114.0,23.0,22.0,107.0
전북 고창군,23877.0,1215.0,11182.0,722.0,1433.0,31.0,20.0,30.0,11.0,95.0,47.0,53.0,183.0
전북 부안군,22482.0,1507.0,9837.0,695.0,1622.0,10.0,11.0,40.0,10.0,27.0,27.0,29.0,128.0
전남 목포시,77896.0,2584.0,53303.0,3013.0,7529.0,60.0,21.0,93.0,21.0,216.0,47.0,36.0,142.0
전남 여수시,117586.0,4281.0,50228.0,4207.0,7384.0,48.0,20.0,148.0,26.0,441.0,78.0,60.0,283.0
전남 순천시,122595.0,4525.0,40429.0,4326.0,7475.0,55.0,33.0,100.0,36.0,879.0,55.0,75.0,201.0
전남 나주시,43967.0,1448.0,21011.0,1484.0,2686.0,34.0,14.0,50.0,20.0,147.0,63.0,67.0,199.0
전남 광양시,63544.0,4100.0,20080.0,3145.0,4553.0,48.0,15.0,61.0,22.0,270.0,22.0,38.0,151.0
전남 담양군,19961.0,698.0,10017.0,597.0,1212.0,10.0,12.0,25.0,10.0,121.0,30.0,29.0,104.0
전남 장성군,17378.0,851.0,10167.0,674.0,1190.0,17.0,13.0,46.0,13.0,47.0,23.0,16.0,85.0
전남 곡성군,12152.0,624.0,6850.0,340.0,795.0,9.0,6.0,44.0,6.0,86.0,26.0,16.0,94.0
전남 구례군,11873.0,628.0,5188.0,285.0,639.0,4.0,3.0,20.0,2.0,93.0,13.0,13.0,50.0
전남 고흥군,26882.0,1349.0,15614.0,703.0,1195.0,14.0,17.0,266.0,8.0,202.0,59.0,54.0,251.0
전남 보성군,16666.0,732.0,10514.0,537.0,945.0,13.0,6.0,51.0,14.0,94.0,34.0,48.0,127.0
전남 화순군,25867.0,770.0,13832.0,727.0,1662.0,12.0,11.0,35.0,10.0,170.0,47.0,46.0,153.0
전남 장흥군,14821.0,636.0,9593.0,513.0,975.0,11.0,4.0,29.0,12.0,204.0,37.0,26.0,127.0
전남 강진군,12476.0,753.0,10152.0,489.0,890.0,15.0,6.0,45.0,9.0,70.0,17.0,21.0,63.0
전남 완도군,20945.0,762.0,11021.0,521.0,975.0,12.0,5.0,32.0,8.0,87.0,31.0,33.0,161.0
전남 해남군,25901.0,1158.0,18157.0,778.0,1581.0,14.0,6.0,61.0,14.0,134.0,42.0,36.0,129.0
전남 진도군,10392.0,511.0,8855.0,323.0,686.0,10.0,11.0,25.0,8.0,57.0,29.0,22.0,81.0
전남 영암군,18999.0,825.0,13610.0,674.0,1773.0,10.0,11.0,47.0,26.0,62.0,32.0,30.0,72.0
전남 무안군,29516.0,983.0,18052.0,979.0,2366.0,18.0,15.0,38.0,16.0,86.0,47.0,30.0,109.0
전남 영광군,20595.0,819.0,11675.0,686.0,1320.0,16.0,20.0,57.0,11.0,282.0,39.0,30.0,165.0
전남 함평군,13539.0,471.0,7831.0,359.0,788.0,11.0,7.0,12.0,10.0,39.0,24.0,22.0,87.0
전남 신안군,14370.0,713.0,12000.0,459.0,890.0,13.0,16.0,34.0,13.0,30.0,44.0,34.0,131.0
경북 포항시북구,38629.0,77138.0,26901.0,17421.0,9682.0,263.0,33.0,93.0,59.0,89.0,61.0,141.0,162.0
경북 포항시남구,34808.0,66319.0,24728.0,14382.0,8845.0,212.0,29.0,82.0,37.0,120.0,56.0,109.0,189.0
경북 울릉군,1443.0,3520.0,973.0,524.0,261.0,10.0,1.0,3.0,5.0,2.0,4.0,5.0,14.0
경북 경주시,38092.0,80090.0,23898.0,13779.0,9274.0,331.0,45.0,99.0,76.0,166.0,76.0,206.0,229.0
경북 김천시,22255.0,43998.0,12803.0,6336.0,5458.0,161.0,26.0,78.0,38.0,48.0,56.0,164.0,151.0
경북 안동시,23121.0,52978.0,15461.0,9186.0,5058.0,170.0,32.0,68.0,70.0,56.0,76.0,221.0,140.0
경북 구미시,62573.0,98732.0,41141.0,25468.0,16027.0,419.0,57.0,119.0,73.0,105.0,72.0,166.0,350.0
