지역,민주자유당 김영삼,민주당 김대중,통일국민당 정주영,신정당 박찬종,대한정의당 이병호,무소속 김옥선 ,무소속 백기완
경북 영천시,16818.0,2430.0,4703.0,2390.0,33.0,66.0,257.0
경북 영천군,25048.0,4839.0,6879.0,3163.0,136.0,194.0,427.0
경북 상주시,18581.0,2436.0,3707.0,2302.0,40.0,130.0,306.0
경북 상주군,34123.0,4903.0,6846.0,3624.0,164.0,306.0,570.0
경북 점촌시,16644.0,1798.0,3695.0,1734.0,38.0,79.0,251.0
경북 문경군,22281.0,2256.0,4666.0,1783.0,122.0,144.0,401.0
경북 달성군,33671.0,4707.0,10525.0,5454.0,104.0,222.0,673.0
경북 고령군,14427.0,1975.0,3397.0,1653.0,54.0,121.0,230.0
경북 군위군,14940.0,1822.0,3447.0,1524.0,70.0,108.0,223.0
경북 선산군,26252.0,2655.0,5009.0,2743.0,72.0,140.0,391.0
경북 의성군,35566.0,6348.0,8345.0,3833.0,179.0,233.0,527.0
경북 안동군,28752.0,6026.0,6637.0,3246.0,172.0,217.0,705.0
경북 청송군,15224.0,2878.0,3243.0,1644.0,75.0,117.0,268.0
경북 영덕군,25234.0,2647.0,4647.0,1631.0,85.0,152.0,351.0
경북 영양군,9955.0,2710.0,2173.0,982.0,56.0,103.0,214.0
경북 봉화군,19399.0,3086.0,4416.0,2620.0,152.0,188.0,417.0
경북 영일군,58962.0,10453.0,14287.0,7997.0,200.0,423.0,1157.0
경북 울릉군,4968.0,577.0,849.0,431.0,17.0,26.0,61.0
경북 경주군,44669.0,6645.0,14442.0,5661.0,227.0,349.0,936.0
경북 경산시,18634.0,2840.0,6504.0,3348.0,40.0,102.0,383.0
경북 경산군,27295.0,3628.0,7858.0,3986.0,103.0,190.0,492.0
경북 청도군,23567.0,2578.0,4569.0,2510.0,94.0,154.0,431.0
경북 성주군,21653.0,2971.0,4600.0,2330.0,99.0,184.0,432.0
경북 칠곡군,28870.0,4096.0,6920.0,4591.0,87.0,176.0,503.0
경북 예천군,29136.0,3663.0,5343.0,2419.0,124.0,166.0,545.0
경북 울진군,25391.0,3019.0,5844.0,1778.0,118.0,170.0,368.0
경남 창원시,142000.0,24631.0,17682.0,13292.0,109.0,322.0,2241.0
경남 울산시중구,73795.0,17020.0,39727.0,11194.0,100.0,258.0,1561.0
경남 울산시남구,87303.0,16062.0,32354.0,11603.0,109.0,235.0,1324.0
경남 울산시동구,26658.0,17982.0,45096.0,6336.0,78.0,221.0,1075.0
경남 마산시합포구,89194.0,7361.0,5224.0,4080.0,44.0,135.0,1277.0
경남 마산시회원구,86489.0,8757.0,5683.0,4537.0,46.0,153.0,1278.0
경남 진주시,106479.0,9678.0,7653.0,7322.0,83.0,230.0,1734.0
경남 진해시,56056.0,6165.0,4005.0,4079.0,65.0,145.0,752.0
경남 창원군,40911.0,2987.0,2370.0,1918.0,45.0,118.0,521.0
경남 충무시,44393.0,2317.0,1367.0,1498.0,22.0,73.0,365.0
경남 통영군,24378.0,800.0,669.0,621.0,19.0,82.0,215.0
