시도,구시군,읍면동명,투표구명,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬"
서울특별시,광진구,,관내사전투표,3146,2129,145,7,25,0,2,1,4,6,1,4
서울특별시,광진구,,중곡제2동제1투,515,629,46,1,9,0,0,0,0,4,0,3
서울특별시,광진구,,중곡제2동제2투,703,809,66,2,15,0,0,0,1,2,0,0
서울특별시,광진구,,중곡제2동제3투,783,817,77,5,12,0,0,0,5,1,0,3
서울특별시,광진구,,중곡제2동제4투,464,517,21,0,9,1,0,2,0,2,1,0
서울특별시,광진구,,중곡제2동제5투,621,718,41,1,9,0,1,2,4,2,1,0
서울특별시,광진구,,관내사전투표,2120,1481,90,3,24,0,0,1,1,3,1,1
서울특별시,광진구,,중곡제3동제1투,573,635,45,3,15,0,0,2,0,2,0,0
서울특별시,광진구,,중곡제3동제2투,532,584,34,0,16,0,1,0,3,0,0,1
서울특별시,광진구,,중곡제3동제3투,493,557,37,2,11,0,0,0,1,1,0,0
서울특별시,광진구,,중곡제3동제4투,535,574,36,1,14,0,0,1,1,0,2,1
서울특별시,광진구,,중곡제3동제5투,429,540,24,1,12,0,0,0,0,0,0,1
서울특별시,광진구,,관내사전투표,4430,3175,167,2,37,1,1,0,4,8,0,0
서울특별시,광진구,,중곡제4동제1투,610,738,40,1,14,0,0,1,2,1,0,1
서울특별시,광진구,,중곡제4동제2투,915,847,48,1,13,0,0,1,4,1,0,1
서울특별시,광진구,,중곡제4동제3투,531,618,48,1,17,0,1,0,0,3,0,1
서울특별시,광진구,,중곡제4동제4투,572,577,48,0,12,0,1,1,2,1,0,1
서울특별시,광진구,,중곡제4동제5투,662,709,52,0,16,0,0,0,1,0,0,1
